component,type,name,weight
3,gene,Cre06.g256300,0.0654202322997439
3,gene,Cre06.g274400,0.1304541176262354
3,gene,Cre06.g278251,0.0379902761565792
3,gene,Cre06.g295050,0.1112203399852277
3,gene,Cre07.g315850,0.0018014080947532
3,gene,Cre07.g322350,0.0900662250644609
3,gene,Cre07.g323450,0.0800180395703123
3,gene,Cre07.g325715,0.0696726036406673
3,gene,Cre07.g325754,0.0510308708186396
3,gene,Cre07.g325762,0.0046479422816493
3,gene,Cre07.g332300,0.0478694498300398
3,gene,Cre07.g340400,0.0257365097132302
3,gene,Cre07.g341900,0.0222499656584461
3,gene,Cre07.g352250,0.0094770040119288
3,gene,Cre07.g356850,0.0802722002516844
3,gene,Cre08.g358568,0.0430144171708144
3,gene,Cre08.g358571,0.1631066874709678
3,gene,Cre08.g367350,0.0866256145515786
3,gene,Cre08.g372100,0.0332663511294822
3,gene,Cre08.g374250,0.090955112289256
3,gene,Cre09.g387949,0.1908222171420922
3,gene,Cre09.g389912,0.0144725606424364
3,gene,Cre09.g393000,0.1451997737692048
3,gene,Cre09.g397216,0.0255193662860649
3,gene,Cre09.g397734,0.0471229877221485
3,gene,Cre09.g403293,0.0728600523430206
3,gene,Cre09.g412150,0.0304344918878035
3,gene,Cre10.g430900,0.0127714681049281
3,gene,Cre10.g431250,0.1018764450724498
3,gene,Cre10.g432600,0.0208243379423418
3,gene,Cre10.g436000,0.0147325241509034
3,gene,Cre10.g436150,0.1678428856022467
3,gene,Cre10.g436200,0.1678428856022467
3,gene,Cre10.g437300,0.1125163576782484
3,gene,Cre10.g445800,0.0883672025337053
3,gene,Cre10.g453050,0.0269912557306587
3,gene,Cre10.g453900,0.0045349587065959
3,gene,Cre10.g461700,0.0483053493870135
3,gene,Cre10.g463500,0.0071127176617498
3,gene,Cre10.g463550,0.0071127176617498
3,gene,Cre10.g465300,0.0255936921715764
3,gene,Cre11.g467566,0.1493789364695661
3,gene,Cre11.g467567,0.1493789364695661
3,gene,Cre11.g467742,0.0820377262286821
3,gene,Cre11.g467756,0.0081729164792456
3,gene,Cre12.g493050,0.0072667401178608
3,gene,Cre12.g495250,0.0301599612367211
3,gene,Cre12.g531900,0.1261665721431882
3,gene,Cre12.g538200,0.0251024891550006
3,gene,Cre12.g550800,0.0160720955510221
3,gene,Cre12.g554100,0.2962560629839106
3,gene,Cre13.g565150,0.2268921456266475
3,gene,Cre13.g586916,0.0050629432927044
3,gene,Cre13.g588150,0.0245630235313253
3,gene,Cre13.g589450,0.0072032265249691
3,gene,Cre13.g591501,0.040473655521355
3,gene,Cre13.g592100,0.164689048584373
3,gene,Cre13.g606250,0.0015494724964529
3,gene,Cre13.g607300,0.0968960624551903
3,gene,Cre14.g613652,0.2184153911556175
3,gene,Cre14.g621800,0.0318733556853767
3,gene,Cre14.g626400,0.0217892182439875
3,gene,Cre15.g640101,0.0538069172084782
3,gene,Cre16.g648750,0.0065779817451011
3,gene,Cre16.g661200,0.0458404130636368
3,gene,Cre16.g685451,0.0563348951387657
3,gene,Cre16.g688350,0.2608686550233405
3,gene,Cre17.g704400,0.0128910131657329
3,gene,Cre17.g730950,0.05748609719123
4,light_regime,1min-1min,0.0
4,light_regime,30s-30s,0.0
4,light_regime,20h_HL,0.0
4,light_regime,20h_ML,0.0
4,light_regime,2h-2h,1.0
4,light_regime,10min-10min,0.0
4,light_regime,5min-5min,0.0
4,light_regime,1min-5min,0.0
4,gene,Cre01.g011901,0.002333851428738
4,gene,Cre01.g012150,0.1117170787621536
4,gene,Cre01.g012850,0.0172930212559589
4,gene,Cre01.g017200,0.0142570508209754
4,gene,Cre01.g021550,0.0725600279043563
4,gene,Cre01.g025400,0.0026431429997009
4,gene,Cre01.g039550,0.0613439150771201
4,gene,Cre01.g064727,0.0692713111266652
4,gene,Cre02.g093300,0.1846438556405185
4,gene,Cre02.g095063,0.0387572632095668
4,gene,Cre02.g095076,0.0307727251929366
4,gene,Cre02.g095081,0.3746517403044299
4,gene,Cre02.g095115,0.0872083847148578
4,gene,Cre02.g108500,0.1438737882600424
4,gene,Cre02.g112250,0.0240840411808762
4,gene,Cre02.g146300,0.0457769733770842
4,gene,Cre03.g153400,0.0694244946889837
4,gene,Cre03.g176961,0.0745496188882606
4,gene,Cre03.g192450,0.0220362865325181
4,gene,Cre03.g203150,0.0549957610278317
4,gene,Cre04.g213652,0.2633180468612754
4,gene,Cre04.g214501,0.0579450735221208
4,gene,Cre04.g215800,0.1105585297003973
4,gene,Cre04.g216050,0.0342406007963826
4,gene,Cre04.g219700,0.0149344296358834
4,gene,Cre04.g222600,0.0099177066662091
4,gene,Cre04.g224150,0.0102380806858859
4,gene,Cre04.g229163,0.2492198676758842
4,gene,Cre05.g236000,0.1095058173697311
4,gene,Cre05.g243802,0.0007741607608234
4,gene,Cre05.g245351,0.0688890154316384
4,gene,Cre05.g248250,0.2998448707135666
4,gene,Cre06.g251050,0.0770932840580534
4,gene,Cre06.g256300,0.0321655116480858
4,gene,Cre06.g269801,0.0129531396679057
4,gene,Cre06.g274400,0.0468754087131285
4,gene,Cre06.g278093,0.0371042154940629
4,gene,Cre06.g278111,0.0353893738263817
